Zakres, Czas trwania
1000000,0
900000,0
700000,0
500000,0
300000,0
200000,0
100000,0
50000,0
20000,0
10000,0
5000,0
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
1000000,0
900000,0
700000,0
500000,0
300000,0
200000,0
100000,0
50000,0
20000,0
10000,0
5000,0
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
1000000,0
900000,0
700000,0
500000,0
300000,0
200000,0
100000,0
50000,0
20000,0
10000,0
5000,0
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
1000000,0
900000,0
700000,0
500000,0
300000,0
200000,0
100000,0
50000,0
20000,0
10000,0
5000,0
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
2000,0
1000,0
500,0
100,0
50,0
10,0
Zakres, Czas trwania
2000,0
1000,0
500,0
100,0
50,0
10,0
