Zakres, Czas trwania, Liczba iteracji
1000000,0,1
900000,1,1
700000,0,1
500000,0,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
1000000,1,1
900000,0,1
700000,0,1
500000,0,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
1000000,1,1
900000,0,1
700000,1,1
500000,0,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
1000000,0,1
900000,1,1
700000,0,1
500000,0,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
1000000,0,1
900000,0,1
700000,0,1
500000,0,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
50,0,1
10,0,1
1000000,0,1
900000,0,1
700000,0,1
500000,1,1
300000,0,1
200000,0,1
100000,0,1
50000,0,1
20000,0,1
10000,0,1
5000,0,1
2000,0,1
1000,0,1
500,0,1
100,0,1
100,0,1
500,0,1
1000,0,1
2000,0,1
5000,0,1
10000,0,1
20000,0,1
50000,0,1
100000,0,1
200000,0,1
300000,0,1
500000,1,1
700000,0,1
900000,0,1
1000000,0,1
10,0,100
50,0,100
100,0,100
500,0,100
1000,0,100
2000,0,100
5000,0,100
10000,0,100
20000,0.01,100
50000,0,100
100000,0.02,100
200000,0.05,100
300000,0.08,100
500000,0.13,100
700000,0.15,100
900000,0.26,100
1000000,0.33,100
